[2026-04-02 00:12:20] ALLOWED | User: operator1 | FC:6 Reg:0 Val:18
[2026-04-02 00:12:28] AUTH_SUCCESS | User: operator1 | Login successful
[2026-04-02 00:12:31] ALLOWED | User: operator1 | FC:6 Reg:0 Val:29
[2026-04-02 00:12:42] AUTH_SUCCESS | User: operator1 | Login successful
[2026-04-02 00:12:45] ALLOWED | User: operator1 | FC:6 Reg:0 Val:24
[2026-04-02 00:20:16] AUTH_FAILED | User: Unknown | Invalid credentials (attempt 1/3)
[2026-04-02 00:20:27] AUTH_SUCCESS | User: operator1 | Login successful
[2026-04-02 00:20:35] ALLOWED | User: operator1 | FC:6 Reg:0 Val:17
[2026-04-02 00:21:21] AUTH_SUCCESS | User: operator1 | Login successful
[2026-04-02 00:21:25] ALLOWED | User: operator1 | FC:6 Reg:0 Val:25
[2026-04-02 00:21:34] AUTH_SUCCESS | User: operator1 | Login successful
[2026-04-02 00:21:40] ALLOWED | User: operator1 | FC:6 Reg:0 Val:18
[2026-04-02 00:22:01] AUTH_SUCCESS | User: operator1 | Login successful
[2026-04-02 00:22:05] ALLOWED | User: operator1 | FC:6 Reg:0 Val:29
[2026-04-02 00:22:28] AUTH_SUCCESS | User: operator1 | Login successful
[2026-04-02 00:22:34] ALLOWED | User: operator1 | FC:6 Reg:0 Val:23
[2026-04-02 00:24:59] AUTH_SUCCESS | User: operator1 | Login successful
[2026-04-02 00:25:07] BLOCKED | User: operator1 | FC:6 Reg:0 Val:0 - Temperature value 0 outside safe range (15-30)
[2026-04-02 00:25:16] AUTH_SUCCESS | User: operator1 | Login successful
[2026-04-02 00:25:19] ALLOWED | User: operator1 | FC:6 Reg:0 Val:17
[2026-04-02 00:25:26] AUTH_SUCCESS | User: operator1 | Login successful
[2026-04-02 00:25:40] ALLOWED | User: operator1 | FC:6 Reg:0 Val:25
[2026-04-02 00:25:49] AUTH_SUCCESS | User: operator1 | Login successful
[2026-04-02 00:25:53] ALLOWED | User: operator1 | FC:6 Reg:0 Val:18
[2026-04-02 00:26:02] AUTH_SUCCESS | User: operator1 | Login successful
[2026-04-02 00:26:08] ALLOWED | User: operator1 | FC:6 Reg:0 Val:29
[2026-04-02 00:26:16] AUTH_SUCCESS | User: operator1 | Login successful
[2026-04-02 00:26:39] AUTH_SUCCESS | User: operator1 | Login successful
[2026-04-02 00:26:42] ALLOWED | User: operator1 | FC:6 Reg:0 Val:15
[2026-04-02 00:26:53] AUTH_SUCCESS | User: operator1 | Login successful
[2026-04-02 00:26:56] ALLOWED | User: operator1 | FC:6 Reg:0 Val:30
[2026-04-02 00:27:04] AUTH_SUCCESS | User: operator1 | Login successful
[2026-04-02 00:27:10] ALLOWED | User: operator1 | FC:6 Reg:0 Val:15
[2026-04-02 00:27:17] AUTH_SUCCESS | User: operator1 | Login successful
[2026-04-02 00:27:20] ALLOWED | User: operator1 | FC:6 Reg:0 Val:15
[2026-04-02 00:38:48] AUTH_SUCCESS | User: operator1 | Login successful
[2026-04-02 00:38:55] ALLOWED | User: operator1 | FC:6 Reg:0 Val:17
[2026-04-02 00:39:06] AUTH_SUCCESS | User: operator1 | Login successful
[2026-04-02 00:39:16] ALLOWED | User: operator1 | FC:6 Reg:0 Val:25
[2026-04-02 00:39:27] AUTH_SUCCESS | User: operator1 | Login successful
[2026-04-02 00:39:34] ALLOWED | User: operator1 | FC:6 Reg:0 Val:18
[2026-04-02 00:39:46] AUTH_SUCCESS | User: operator1 | Login successful
[2026-04-02 00:39:52] BLOCKED | User: operator1 | FC:6 Reg:0 Val:29 - Suspicious oscillation pattern detected
[2026-04-02 00:40:27] AUTH_SUCCESS | User: engineer1 | Login successful
[2026-04-02 00:40:36] BLOCKED | User: engineer1 | FC:6 Reg:1 Val:34 - Humidity value 34 outside safe range (35-65)
[2026-04-02 00:51:43] AUTH_SUCCESS | User: operator1 | Login successful
[2026-04-02 00:51:48] TIMEOUT | User: operator1 | Session expired due to inactivity
[2026-04-02 01:17:29] AUTH_SUCCESS | User: operator1 | Login successful
[2026-04-02 01:17:41] TIMEOUT | User: operator1 | Session expired due to inactivity
[2026-04-02 01:18:02] AUTH_SUCCESS | User: engineer1 | Login successful
[2026-04-02 01:18:07] TIMEOUT | User: engineer1 | Session expired due to inactivity
[2026-04-02 01:18:32] AUTH_SUCCESS | User: engineer1 | Login successful
[2026-04-02 01:18:36] TIMEOUT | User: engineer1 | Session expired due to inactivity
[2026-04-05 22:54:59] AUTH_SUCCESS | User: operator1 | Login successful
[2026-04-05 22:55:26] ALLOWED | User: operator1 | FC:6 Reg:0 Val:20
[2026-04-05 22:55:41] AUTH_SUCCESS | User: operator1 | Login successful
[2026-04-05 22:55:46] ALLOWED | User: operator1 | FC:6 Reg:1 Val:50
